@T,fert
name,fert.csv
descr,default fertilizer input parameters

@H,FID,fertnm,fminn,fminp,forgn,forgp,fnh3n,bactpdb,bactlpdb,bactkddb,desc
,1,Elem-N,1,0,0,0,0,0,0,0,Elemental Nitrogen
,2, Elem-P,0,1,0,0,0,0,0,0,Elemental Phosphorous
,3,ANH-NH3,0.82,0,0,0,1,0,0,0,Anhydrous Ammonia
,4,UREA,0.46,0,0,0,1,0,0,0,Urea
,5,46-00-00,0.46,0,0,0,0,0,0,0,46-00-00
,6,33-00-00,0.33,0,0,0,0,0,0,0,33-00-00
,7,31-13-00,0.31,0.057,0,0,0,0,0,0,31-13-00
,8,30-80-00,0.3,0.352,0,0,0,0,0,0,30-80-00
,9,30-15-00,0.3,0.066,0,0,0,0,0,0,30-15-00
,10,28-10-10,0.28,0.044,0,0,0,0,0,0,28-10-10
,11,28-03-00,0.28,0.013,0,0,0,0,0,0,28-03-00
,12,26-13-00,0.26,0.057,0,0,0,0,0,0,26-13-00
,13,25-05-00,0.25,0.022,0,0,0,0,0,0,25-05-00
,14,25-03-00,0.25,0.013,0,0,0,0,0,0,25-03-00
,15,24-06-00,0.24,0.026,0,0,0,0,0,0,24-06-00
,16,22-14-00,0.22,0.062,0,0,0,0,0,0,22-14-00
,17,20-20-00,0.2,0.088,0,0,0,0,0,0,20-20-00
,18,18-46-00,0.18,0.202,0,0,0,0,0,0,18-46-00
,19,18-04-00,0.18,0.018,0,0,0,0,0,0,18-04-00
,20,16-20-20,0.16,0.088,0,0,0,0,0,0,16-20-20
,21,15-15-15,0.15,0.066,0,0,0,0,0,0,15-15-15
,22,15-15-00,0.15,0.066,0,0,0,0,0,0,15-15-00
,23,13-13-13,0.13,0.057,0,0,0,0,0,0,13-13-13
,24,12-20-00,0.12,0.088,0,0,0,0,0,0,12-20-00
,25,11-52-00,0.11,0.229,0,0,0,0,0,0,11-52-00
,26,11-15-00,0.11,0.066,0,0,0,0,0,0,11-15-00
,27,10-34-00,0.1,0.15,0,0,0,0,0,0,10-34-00
,28,10-28-00,0.1,0.123,0,0,0,0,0,0,10-28-00
,29,10-20-20,0.1,0.088,0,0,0,0,0,0,10-20-20
,30,10-10-10,0.1,0.044,0,0,0,0,0,0,10-10-10
,31,8-15-00,0.08,0.066,0,0,0,0,0,0,8-15-00
,32,8-8-00,0.08,0.035,0,0,0,0,0,0,8-8-00
,33,7-7-00,0.07,0.031,0,0,0,0,0,0,7-7-00
,34,07-00-00,0.07,0,0,0,0,0,0,0,07-00-00
,35,6-24-24,0.06,0.106,0,0,0,0,0,0,6-24-24
,36,5-10-15,0.05,0.044,0,0,0,0,0,0,5-10-15
,37,5-10-10,0.05,0.044,0,0,0,0,0,0,5-10-10
,38,5-10-05,0.05,0.044,0,0,0,0,0,0,5-10-05
,39,4-8-00,0.04,0.035,0,0,0,0,0,0,4-8-00
,40,3-6-00,0.03,0.026,0,0,0,0,0,0,3-6-00
,41,2-9-00,0.02,0.04,0,0,0,0,0,0,2-9-00
,42,00-15-00,0,0.066,0,0,0,0,0,0,00-15-00
,43,00-06-00,0,0.026,0,0,0,0,0,0,00-06-00
,44,DAIRY-FR,0.007,0.005,0.031,0.003,0.99,0,0,0,Dairy-Fresh Manure
,45,BEEF-FR,0.01,0.004,0.03,0.007,0.99,0,0,0,Beef-Fresh Manure
,46,VEAL-FR,0.023,0.006,0.029,0.007,0.99,0,0,0,Veal-Fresh Manure
,47,SWINE-FR,0.026,0.011,0.021,0.005,0.99,0,0,0,Swine-Fresh Manure
,48,SHEEP-FR,0.014,0.003,0.024,0.005,0.99,0,0,0,Sheep-Fresh Manure
,49,GOAT-FR,0.013,0.003,0.022,0.005,0.99,0,0,0,Goat-Fresh Manure
,50,HORSE-FR,0.006,0.001,0.014,0.003,0.99,0,0,0,Horse-Fresh Manure
,51,LAYER-FR,0.013,0.006,0.04,0.013,0.99,0,0,0,Layer-Fresh Manure
,52,BROIL-FR,0.01,0.004,0.04,0.01,0.99,0,0,0,Broiler-Fresh Manure
,53,TURK-FR,0.007,0.003,0.045,0.016,0.99,0,0,0,Turkey-Fresh Manure
,54,DUCK-FR,0.023,0.008,0.025,0.009,0.99,0,0,0,Duck-Fresh Manure
