@T,reaches
name,reach
descr,reach input parameters

@H,ID,length,slope,rough,width,deepsink
min,0,0,0,0,0,0
max,99999999,99999999,90,9999,99999999,1
unit,n/a,m,%,n/a,m,n/a
,-1,176,0.05,30,0.5,0
,-2,991,0.12,30,0.5,0
,-3,3172,0.76,30,0.5,0
,-4,2089,0.87,30,0.5,0
,-5,2353,0.5,30,0.5,0
,-6,1782,0.91,30,0.5,0
,-7,1304,1.47,30,0.5,0
,-8,426,1.45,30,0.5,0
,-9,870,0.94,30,0.5,0
,-10,1015,1.38,30,0.5,0
,-11,699,0.78,30,0.5,0
,-12,95,0.44,30,0.5,0
,-13,351,1.02,30,0.5,0
,-14,70,0.01,30,0.5,0
,-15,343,0.01,30,0.5,0
,-16,826,1.11,30,0.5,0
,-17,785,0.02,30,0.5,0
,-18,3748,0.92,30,0.5,0
,-19,2641,0.58,30,0.5,0
,-20,560,0.15,30,0.5,0
,-21,307,0.04,30,0.5,0
,-22,868,0.02,30,0.5,0
,-23,712,0.94,30,0.5,0
,-24,297,0.08,30,0.5,0
,-25,156,0.84,30,0.5,0
,-26,826,0.01,30,0.5,0
,-27,620,0.01,30,0.5,0
,-28,231,0.91,30,0.5,0
,-29,356,0.67,30,0.5,0
,-30,25,0.94,30,0.5,0
,-31,235,0.88,30,0.5,0
,-32,125,0.44,30,0.5,0
,-33,150,0.43,30,0.5,0
,-34,231,0.42,30,0.5,0
,-35,60,0.5,30,0.5,0
,-36,400,0.02,30,0.5,0
,-37,366,0.73,30,0.5,0
,-38,1621,0.03,30,0.5,0
,-39,930,0.02,30,0.5,0
,-40,1040,0.03,30,0.5,0
,-41,135,0.39,30,0.5,0
,-42,266,0.96,30,0.5,0
,-43,468,0.87,30,0.5,0
,-44,1130,0.38,30,0.5,0
,-45,928,0.92,30,0.5,0
,-46,732,0.36,30,0.5,0
,-47,70,0.01,30,0.6,0
,-48,1467,0.02,30,0.5,0
,-49,176,0.01,30,0.7,0
,-50,60,0.76,30,0.5,0
,-51,901,0.68,30,0.5,0
,-52,176,0.01,30,0.8,0
,-53,838,0.79,30,0.5,0
,-54,987,0.02,30,0.5,0
,-55,176,0.01,30,0.8,0
,-56,276,0.36,30,0.5,0
,-57,120,0.01,30,0.9,0
,-58,1463,0.1,30,1,0
,-59,241,0.09,30,0.5,0
,-60,176,0.23,30,0.5,0
,-61,518,0.22,30,0.5,0
,-62,795,0.38,30,0.5,0
,-63,743,0.46,30,0.5,0
,-64,560,1.39,30,0.5,0
,-65,241,0.12,30,0.5,0
,-66,497,0.12,30,1.1,0
,-67,260,0.7,30,0.5,0
,-68,568,0.34,30,0.5,0
,-69,624,0.26,30,0.5,0
,-70,145,0.14,30,1.2,0
,-71,291,1.64,30,0.5,0
,-72,95,1.44,30,0.5,0
,-73,482,0.14,30,1.4,0
,-74,909,1.26,30,0.5,0
,-75,576,0.65,30,0.5,0
,-76,135,0.34,30,0.5,0
,-77,25,1.15,30,0.5,0
,-78,401,0.2,30,1.6,0
,-79,397,0.37,30,0.5,0
,-80,612,0.25,30,0.5,0
,-81,457,0.07,30,1.6,0
,-82,60,1.55,30,0.5,0
,-83,393,0.28,30,0.5,0
,-84,763,0.99,30,0.5,0
,-85,2173,1.26,30,0.5,0
,-86,60,0.01,30,0.5,0
,-87,528,0.02,30,1.7,0
,-88,351,1.05,30,0.5,0
,-89,716,1.34,30,0.5,0
,-90,237,0.59,30,0.6,0
,-91,457,0.7,30,0.5,0
,-92,110,0.04,30,2.3,0
,-93,60,1.12,30,0.5,0
,-94,131,1.41,30,0.5,0
,-95,1061,0.93,30,2.4,0
,-96,597,2.8,30,0.5,0
,-97,206,3.38,30,0.5,0
,-98,493,1.66,30,2.4,0
,-99,513,0.8,30,2.5,0
,-100,245,2.39,30,0.5,0
,-101,547,1.8,30,2.5,0
