@T,irri,,,,,,,
name,irri,,,,,,,
descr,default irrigation input parameters,,,,,,,
# irrigation types: (1) fixed dates by crop; (2) actual dates; (3) fixed intervals; (4) depletion level; (5) ET water stress,,,,,,,,
,,,,,,,,
@H,IID,CID,date,interval,rate,depth,depletion trigger level,depletion refill level
,1,28,10/9/2010,-,-,43.3,-,-
,1,28,3/3/2011,-,-,14.7,-,-
,1,28,3/11/2011,-,-,14.3,-,-
,1,28,3/14/2011,-,-,14.5,-,-
,1,28,3/25/2011,-,-,25.9,-,-
,1,28,4/8/2011,-,-,12.2,-,-
,1,28,4/18/2011,-,-,25.4,-,-
,1,28,4/25/2011,-,-,16.4,-,-
,1,28,5/6/2011,-,-,37.2,-,-
,1,28,5/27/2011,-,-,27.0,-,-
,1,28,5/31/2011,-,-,2.8,-,-
,1,28,6/3/2011,-,-,26.2,-,-
,1,28,6/10/2011,-,-,18.5,-,-
,1,28,6/15/2011,-,-,6.8,-,-
,1,28,6/16/2011,-,-,20.2,-,-
,1,28,6/23/2011,-,-,29.7,-,-
,1,28,6/27/2011,-,-,19.7,-,-
,1,28,6/28/2011,-,-,18.9,-,-
,2,28,10/9/2010,-,-,43.3,-,-
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
# Notes:,,,,,,,,
# rate/depth units depend on the time step (hourly/daily),,,,,,,,
# rate must be less than or equal to depth,,,,,,,,
# hourly irrigation will be added to the start of the first hourly precipitation event, otherwise (i.e., no precipitation) it will be added to the first hour of the day,,,,,,
# the option to irrigate or not irrigate an HRU will be controlled by a flag in the hrus.csv file,,,,,,,,
# need to discuss options for delaying tillage based on soil water content and/or irrigation events,,,,,,,,
